model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,fp,fn
Random Forest,0.62,0.9294117647058824,0.9789473684210527,0.9634146341463414,0.9461077844311377,0.9541795665634676,6,12
Random Forest,0.63,0.9235294117647059,0.9824561403508771,0.9691358024691358,0.9457831325301205,0.9529927760577915,5,13
Random Forest,0.64,0.9235294117647059,0.9824561403508771,0.9691358024691358,0.9457831325301205,0.9529927760577915,5,13
Random Forest,0.65,0.9235294117647059,0.9824561403508771,0.9691358024691358,0.9457831325301205,0.9529927760577915,5,13
Random Forest,0.66,0.9235294117647059,0.9824561403508771,0.9691358024691358,0.9457831325301205,0.9529927760577915,5,13
Random Forest,0.67,0.9235294117647059,0.9824561403508771,0.9691358024691358,0.9457831325301205,0.9529927760577915,5,13
Random Forest,0.68,0.9176470588235294,0.9824561403508771,0.968944099378882,0.9425981873111783,0.9500515995872032,5,14
Random Forest,0.69,0.9176470588235294,0.9824561403508771,0.968944099378882,0.9425981873111783,0.9500515995872032,5,14
Random Forest,0.7,0.9176470588235294,0.9859649122807017,0.975,0.9454545454545454,0.9518059855521155,4,14
Random Forest,0.71,0.9176470588235294,0.9859649122807017,0.975,0.9454545454545454,0.9518059855521155,4,14
Random Forest,0.72,0.9176470588235294,0.9894736842105263,0.9811320754716981,0.9483282674772037,0.9535603715170278,3,14
Random Forest,0.73,0.9176470588235294,0.9894736842105263,0.9811320754716981,0.9483282674772037,0.9535603715170278,3,14
Random Forest,0.74,0.9176470588235294,0.9894736842105263,0.9811320754716981,0.9483282674772037,0.9535603715170278,3,14
Random Forest,0.75,0.9176470588235294,0.9894736842105263,0.9811320754716981,0.9483282674772037,0.9535603715170278,3,14
Random Forest,0.76,0.9176470588235294,0.9894736842105263,0.9811320754716981,0.9483282674772037,0.9535603715170278,3,14
Random Forest,0.77,0.9117647058823529,0.9894736842105263,0.9810126582278481,0.9451219512195121,0.9506191950464395,3,15
Random Forest,0.78,0.9117647058823529,0.9894736842105263,0.9810126582278481,0.9451219512195121,0.9506191950464395,3,15
Random Forest,0.79,0.9058823529411765,0.9894736842105263,0.9808917197452229,0.9418960244648318,0.9476780185758513,3,16
Random Forest,0.8,0.9058823529411765,0.9894736842105263,0.9808917197452229,0.9418960244648318,0.9476780185758513,3,16
Random Forest,0.81,0.9058823529411765,0.9894736842105263,0.9808917197452229,0.9418960244648318,0.9476780185758513,3,16
Random Forest,0.82,0.8941176470588236,0.9894736842105263,0.9806451612903225,0.9353846153846154,0.9417956656346749,3,18
Random Forest,0.83,0.8823529411764706,0.9894736842105263,0.9803921568627451,0.9287925696594427,0.9359133126934984,3,20
Random Forest,0.84,0.8823529411764706,0.9894736842105263,0.9803921568627451,0.9287925696594427,0.9359133126934984,3,20
Random Forest,0.85,0.8823529411764706,0.9894736842105263,0.9803921568627451,0.9287925696594427,0.9359133126934984,3,20
Random Forest,0.86,0.8823529411764706,0.9894736842105263,0.9803921568627451,0.9287925696594427,0.9359133126934984,3,20
Random Forest,0.87,0.8823529411764706,0.9929824561403509,0.9868421052631579,0.9316770186335404,0.9376676986584107,2,20
Random Forest,0.88,0.8705882352941177,0.9929824561403509,0.9866666666666667,0.925,0.9317853457172343,2,22
Random Forest,0.89,0.8647058823529412,0.9929824561403509,0.9865771812080537,0.9216300940438872,0.928844169246646,2,23
Random Forest,0.9,0.8588235294117647,0.9929824561403509,0.9864864864864865,0.9182389937106918,0.9259029927760578,2,24
Random Forest,0.91,0.8470588235294118,0.9964912280701754,0.993103448275862,0.9142857142857143,0.9217750257997936,1,26
Random Forest,0.92,0.8411764705882353,1.0,1.0,0.9137380191693291,0.9205882352941177,0,27
Random Forest,0.93,0.8352941176470589,1.0,1.0,0.9102564102564102,0.9176470588235295,0,28
Random Forest,0.94,0.8294117647058824,1.0,1.0,0.9067524115755627,0.9147058823529413,0,29
Random Forest,0.95,0.8235294117647058,1.0,1.0,0.9032258064516129,0.9117647058823529,0,30
