threshold,sensitivity,specificity,accuracy,precision,f1,tp,fp,tn,fn
0.76,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.77,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.78,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.79,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.8,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.81,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.8200000000000001,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.8300000000000001,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.84,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.85,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.86,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.87,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.88,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.89,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.9,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.91,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.92,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.93,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.9400000000000001,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.9500000000000001,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.96,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.97,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.98,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.99,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
1.0,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
